label,authors_1,authors_2,title_1,title_2,venue_1,venue_2,year_1,year_2
1,charly kleissner,charly kleissner,"enterprise objects framework , a second generation object-relational enabler",enterprise objects framework : a second generation object-relational enabler,sigmod conference,international conference on management of data,1995,1995
0,"christian s. jensen , kristian torp , richard t. snodgrass","rajendran m. sivasankaran , john a. stankovic , don towsley , bhaskar purimetla , krithi ramamritham",effective timestamping in databases,priority assignment in real-time active databases,vldb j.,the vldb journal -- the international journal on very large data bases,2000,1996
0,"arvind rajendran , david maier , leonidas fegaras , chandrasekhar srinivasan",r. g. g. cattell,lambda-db : an odmg-based object-oriented dbms,odmg-93 : a standard for object-oriented dbmss,sigmod conference,international conference on management of data,2000,1994
1,"surajit chaudhuri , ashish kumar gupta , vivek r. narasayya","surajit chaudhuri , ashish kumar gupta , vivek narasayya",compressing sql workloads,compressing sql workloads,sigmod conference,international conference on management of data,2002,2002
0,"giuseppe psaila , stefano ceri , stefano paraboschi , piero fraternali","g. kappel , w. retschitzegger",the algres testbed of chimera : an active object-oriented database system,the trigs active object-oriented database system - an overview,sigmod conference,acm sigmod record,1995,1998
1,"jérôme siméon , vassilis christophides , sophie cluet","vassilis christophides , sophie cluet , j &#233; r &#466; me sim &#232; on",on wrapping query languages and efficient xml integration,on wrapping query languages and efficient xml integration,sigmod conference,international conference on management of data,2000,2000
0,rudolf bayer,"daniela florescu , alon y. levy , dan suciu",document management as a database problem,is web-site management a database problem ?,vldb,very large data bases,1995,1998
0,"jiawei han , beng chin ooi , hongjun lu , kian-lee tan",joseph fong,index nesting - an efficient approach to indexing in object-oriented databases,converting relational to object-oriented databases,vldb j.,acm sigmod record,1996,1997
1,"jan-dirk becker , matthias jarke , andreas boehmer , elvira schaefer","elvira schaefer , jan-dirk becker , andreas boehmer , matthias jarke",controlling data warehouses with knowledge networks,controlling data warehouses with knowledge networks,vldb,very large data bases,2000,2000
0,michael h. böhlen,"a. prasad sistla , ouri wolfson",temporal database system implementations,temporal conditions and integrity constraints in active database systems,sigmod record,international conference on management of data,1995,1995
1,michael m. david,michael m. david,ansi sql hierarchical processing can fully integrate native xml,ansi sql hierarchical processing can fully integrate native xml,sigmod record,acm sigmod record,2003,2003
1,"dennis shasha , yunyue zhu","yunyue zhu , dennis shasha",warping indexes with envelope transforms for query by humming,warping indexes with envelope transforms for query by humming,sigmod conference,international conference on management of data,2003,2003
0,"theodore johnson , amr el abbadi , richard t. snodgrass , kenneth a. ross",ken ross,reminiscences on influential papers,influential papers,sigmod record,acm sigmod record,2002,2002
0,"sharma chakravarthy , y. alp aslandogan , ramez elmasri , leonidas fegaras , jung-hwan oh","susan d. urban , suzanne w. dietrich , forouzan golshani",database research at ut arlington,database research at arizona state university,sigmod record,acm sigmod record,2003,1996
0,"roy goldman , serge abiteboul , jennifer widom , dallan quass , jason mchugh",narendra mohan,lore : a database management system for semistructured data,dwms : data warehouse management system,sigmod record,very large data bases,1997,1996
0,"vagelis hristidis , yannis papakonstantinou",joseph fong,discover : keyword search in relational databases,converting relational to object-oriented databases,vldb,acm sigmod record,2002,1997
0,"jun yang , jennifer widom","guozhu dong , jianwen su",incremental computation and maintenance of temporal aggregates,incremental maintenance of recursive views using relational calculus/sql,vldb j.,acm sigmod record,2003,2000
0,"kazimierz subieta , jacek leszczylowski , yahiko kambayashi","maria l. barja , norman w. paton , alvaro a. a. fernandes , m. howard williams , andrew dinn",procedures in object-oriented query languages,an effective deductive object-oriented database through language integration,vldb,very large data bases,1995,1994
1,"miron livny , eben m. haber , yannis e. ioannidis","eben m. haber , yannis e. ioannidis , miron livny",opossum : desk-top schema management through customizable visualization,opossum : desk-top schema management through customizable visualization,vldb,very large data bases,1995,1995
0,felicity a. w. george,"eui-hong han , george karypis , vipin kumar",dms : a parallel data mining server,scalable parallel data mining for association rules,vldb,international conference on management of data,1998,1997
1,"thierry coupaye , t. svensen , christine collet","christine collet , thierry coupaye , t. svensen",naos - efficient and modular reactive capabilities in an object-oriented database system,naos - efficient and modular reactive capabilities in an object-oriented database system,vldb,very large data bases,1994,1994
0,sunita sarawagi,"marc gyssens , laks v. s. lakshmanan",user-adaptive exploration of multidimensional data,a foundation for multi-dimensional databases,vldb,very large data bases,2000,1997
1,"limsoon wong , rona machlin , leonid libkin","leonid libkin , rona machlin , limsoon wong","a query language for multidimensional arrays : design , implementation , and optimization techniques","a query language for multidimensional arrays : design , implementation , and optimization techniques",sigmod conference,international conference on management of data,1996,1996
1,"limsoon wong , dan suciu , val tannen , peter buneman , leonid libkin","peter buneman , leonid libkin , dan suciu , val tannen , limsoon wong",comprehension syntax,comprehension syntax,sigmod record,acm sigmod record,1994,1994
0,"jingren zhou , kenneth a. ross","tamer kahveci , ambuj k. singh",buffering accesses to memory-resident index structures,efficient index structures for string databases,vldb,very large data bases,2003,2001
0,"binto george , jayant r. haritsa","ramesh gupta , jayant haritsa , krithi ramamritham",secure transaction processing in firm real-time database systems,revisiting commit processing in distributed database systems,sigmod conference,international conference on management of data,1997,1997
0,"wen-syan li , chris clifton","steven milliner , athman bouguettaya , mike p. papazoglou",semint : a system prototype for semantic integration in heterogeneous databases,a scalable architecture for autonomous heterogeneous database interactions,sigmod conference,very large data bases,1995,1995
0,"wei fan , wenke lee","amit sheth , robert meersman",mining system audit data : opportunities and challenges,amicalola report : database and information systems research challenges and opportunities in semantic web and enterprises,sigmod record,acm sigmod record,2001,2002
0,"stefano de francisci , rossella molinaro , orietta gargano , mario paolucci , leonardo tininini , giuseppe sindoni , paola patteri , amedea ambrosetti , pina ticca , cristina bedeschi",oliver g &#252; nther,sit-in : a real-life spatio-temporal information system,environmental information systems,vldb,acm sigmod record,2001,1997
0,"joseph m. hellerstein , vijayshankar raman","praveen seshadri , miron livny , raghu ramakrishnan",partial results for online query processing,sequence query processing,sigmod conference,international conference on management of data,2002,1994
1,"rajeev motwani , sergey brin , craig silverstein","sergey brin , rajeev motwani , craig silverstein",beyond market baskets : generalizing association rules to correlations,beyond market baskets : generalizing association rules to correlations,sigmod conference,international conference on management of data,1997,1997
0,"janet l. wiener , yingwei cui , jennifer widom","yingwei cui , jennifer widom",tracing the lineage of view data in a warehousing environment,lineage tracing for general data warehouse transformations,acm trans . database syst .,very large data bases,2000,2001
0,"peter m. g. apers , stefano ceri , richard t. snodgrass",richard snodgrass,editorial,editorial,vldb j.,acm transactions on database systems ( tods ),2002,2001
0,"ada wai-chee fu , man hon wong , chan man kuok","rosa meo , giuseppe psaila , stefano ceri",mining fuzzy association rules in databases,a new sql-like operator for mining association rules,sigmod record,very large data bases,1998,1996
0,"dan suciu , ioana manolescu , daniela florescu , alon y. levy","sihem amer-yahia , sungran cho , laks v. s. lakshmanan , divesh srivastava",query optimization in the presence of limited access patterns,minimization of tree pattern queries,sigmod conference,international conference on management of data,1999,2001
0,ming-chuan wu,"zhiyuan chen , johannes gehrke , flip korn",query optimization for selections using bitmaps,query optimization in compressed database systems,sigmod conference,international conference on management of data,1999,2001
0,"christos h. papadimitriou , anant jhingran , yannis e. ioannidis , kenneth a. ross",kenneth a. ross,reminiscences on influential papers,reminiscences on influential papers,sigmod record,acm sigmod record,2000,2003
1,"bernhard mitschang , michael jaedicke","michael jaedicke , bernhard mitschang",user-defined table operators : enhancing extensibility for ordbms,user-defined table operators : enhancing extensibility for ordbms,vldb,very large data bases,1999,1999
0,"hanan samet , gísli r. hjaltason","swarup acharya , viswanath poosala , sridhar ramaswamy",distance browsing in spatial databases,selectivity estimation in spatial databases,acm trans . database syst .,international conference on management of data,1999,1999
0,"ioana manolescu , donald kossmann , daniela florescu","vasilis vassalos , yannis papakonstantinou",answering xml queries on heterogeneous data sources,describing and using query capabilities of heterogeneous sources,vldb,very large data bases,2001,1997
0,elisa bertino,"georges gardarin , jean-robert gruser , zhao-hui tang",index configuration in object-oriented databases,a cost model for clustered object-oriented databases,vldb j.,very large data bases,1994,1995
0,"z. meral özsoyoglu , philip s. yu , nick roussopoulos , krithi ramamritham , alberto o. mendelzon , richard t. snodgrass , laura m. haas , jennifer widom , jan paredaens",ken ross,reminiscences on influential papers,influential papers,sigmod record,acm sigmod record,1998,2002
0,"kaladhar voruganti , renée j. miller , kenneth a. ross , flip korn",richard snodgrass,reminiscences on influential papers,reminiscences on influential papers,sigmod record,acm sigmod record,2002,1998
1,"hector garcia-molina , narayanan shivakumar , chandra chekuri","narayanan shivakumar , hector garcia-molina , chandra chekuri",filtering with approximate predicates,filtering with approximate predicates,vldb,very large data bases,1998,1998
0,"piyush goel , balakrishna r. iyer","donko donjerkovic , raghu ramakrishnan",sql query optimization : reordering for a general class of queries,probabilistic optimization of top n queries,sigmod conference,very large data bases,1996,1999
1,"hua-gang li , sin yeung lee , tok wang ling","sin yeung lee , tok wang ling , hua-gang li",hierarchical compact cube for range-max queries,hierarchical compact cube for range-max queries,vldb,very large data bases,2000,2000
0,elisa bertino,"navin kabra , david j. dewitt",index configuration in object-oriented databases,opt + + : an object-oriented implementation for extensible database query optimization,vldb j.,the vldb journal -- the international journal on very large data bases,1994,1999
0,"sin yeung lee , tok wang ling","colin bell , anil nerode , raymond t. ng , v. s. subrahmanian",further improvements on integrity constraint checking for stratifiable deductive databases,implementing deductive databases by mixed integer programming,vldb,acm transactions on database systems ( tods ),1996,1996
0,"chee yong chan , yannis e. ioannidis","seok-ju chun , chin-wan chung , ju-hong lee , seok-lyong lee",hierarchical prefix cubes for range-sum queries,dynamic update cube for range-sum queries,vldb,very large data bases,1999,2001
0,"gautam bhargava , balakrishna r. iyer , piyush goel","surajit chaudhuri , prasanna ganesan , sunita sarawagi",hypergraph based reorderings of outer join queries with complex predicates,factorizing complex predicates in queries to exploit indexes,sigmod conference,international conference on management of data,1995,2003
0,"kotagiri ramamohanarao , david b. kemp , jayen vaghani , tim s. leask , james harland , peter j. stuckey , zoltan somogyi","divesh srivastava , s. sudarshan , raghu ramakrishnan , jeffrey f. naughton",the aditi deductive database system,space optimization in deductive databases,vldb j.,acm transactions on database systems ( tods ),1994,1995
0,keishi tajima,won kim,static detection of security flaws in object-oriented databases,unisql/x unified relational and object-oriented database system,sigmod conference,international conference on management of data,1996,1994
0,"alon y. levy , mary f. fernandez , jaewoo kang , daniela florescu , dan suciu","werner dreyer , angelika kotz dittrich , duri schmidt",strudel : a web-site management system,using the calanda time series management system,sigmod conference,international conference on management of data,1997,1995
0,"divesh srivastava , sungran cho , laks v. s. lakshmanan , sihem amer-yahia",prakash ramanan,tree pattern query minimization,efficient algorithms for minimizing tree pattern queries,vldb j.,international conference on management of data,2002,2002
0,"inderpal singh mumick , hamid pirahesh","laks v. s. lakshmanan , fereidoon sadri , subbu n. subramanian",implementation of magic-sets in a relational database system,on efficiently implementing schemasql on an sql database system,sigmod conference,very large data bases,1994,1999
0,"vivek r. narasayya , gautam das , surajit chaudhuri","swarup acharya , phillip b. gibbons , viswanath poosala , sridhar ramaswamy","a robust , optimization-based approach for approximate answering of aggregate queries",the aqua approximate query answering system,sigmod conference,international conference on management of data,2001,1999
0,"yong-jin choi , chin-wan chung","swarup acharya , viswanath poosala , sridhar ramaswamy",selectivity estimation for spatio-temporal queries to moving objects,selectivity estimation in spatial databases,sigmod conference,international conference on management of data,2002,1999
0,"guy m. lohman , david j. dewitt , qiong luo , jeffrey f. naughton , chun zhang","david j. abel , kerry taylor , dean kun",on supporting containment queries in relational database management systems,integrating modelling systems for environmental management information systems,sigmod conference,acm sigmod record,2001,1997
0,"wei fan , sanghyun park , philip s. yu , haixun wang","tamer kahveci , ambuj k. singh",vist : a dynamic index method for querying xml data by tree structures,efficient index structures for string databases,sigmod conference,very large data bases,2003,2001
0,werner kießling,"binto george , jayant r. haritsa",foundations of preferences in database systems,secure buffering in firm real-time database systems,vldb,the vldb journal -- the international journal on very large data bases,2002,2000
1,"michael j. carey , manish mehta , miron livny , kurt p. brown","kurt p. brown , manish mehta , michael j. carey , miron livny",towards automated performance tuning for complex workloads,towards automated performance tuning for complex workloads,vldb,very large data bases,1994,1994
0,karl aberer,karl aberer,book review column,book reviews,sigmod record,acm sigmod record,2003,2002
0,"kenneth a. ross , damianos chatziantoniou","ambuj shatdal , chander kant , jeffrey f. naughton",groupwise processing of relational queries,cache conscious algorithms for relational query processing,vldb,very large data bases,1997,1994
0,"gio wiederhold , byung suk lee",joseph fong,efficiently instantiating view-objects from remote relational databases,converting relational to object-oriented databases,vldb j.,acm sigmod record,1994,1997
0,"andreas geppert , klaus r. dittrich",jeff sidell,constructing the next 100 database management systems,the mariposa distributed database management system,sigmod record,acm sigmod record,1994,1996
0,joachim hammer,"patrick bosc , amihai motro , gabriella pasi",report on the acm fourth international workshop on data warehousing and olap ( dolap 2001 ),report on the fourth international conference on flexible query answering systems ( fqas 2000 ),sigmod record,acm sigmod record,2002,2001
0,"kenneth a. ross , kyuseok shim , mary f. fernandez",ken ross,reminiscences on influential papers,influential papers,sigmod record,acm sigmod record,2002,2002
0,"jiawei han , beng chin ooi , hongjun lu , kian-lee tan","oscar d &#237; az , arturo jaime",index nesting - an efficient approach to indexing in object-oriented databases,exact : an extensible approach to active object-oriented databases,vldb j.,the vldb journal -- the international journal on very large data bases,1996,1997
0,"manuel rodriguez-martinez , nick roussopoulos","ling liu , calton pu , david buttler , wei han , henrique paques , wei tang",mocha : a self-extensible database middleware system for distributed data sources,aqr-toolkit : an adaptive query routing middleware for distributed data intensive systems,sigmod conference,international conference on management of data,2000,2000
0,"raghu ramakrishnan , miron livny , praveen seshadri","m. rafanelli , a. bezenchek , l. tininini",the design and implementation of a sequence database system,the aggregate data problem : a system for their definition and management,vldb,acm sigmod record,1996,1996
0,"jittat fakcharoenphol , steve chien , ziv bar-yossef , alexander berg , dror weitz","surajit chaudhuri , gautam das , vivek narasayya",approximating aggregate queries about web pages via random walks,"a robust , optimization-based approach for approximate answering of aggregate queries",vldb,international conference on management of data,2000,2001
0,daniel a. keim,"isabel f. cruz , m. averbuch , wendy t. lucas , melissa radzyminski , kirby zhang",databases and visualization,delaunay : a database visualization system,sigmod conference,international conference on management of data,1996,1997
0,"yannis theodoridis , yannis manolopoulos , antonio corral , michael vassilakopoulos","jun zhang , manli zhu , dimitris papadias , yufei tao , dik lun lee",closest pair queries in spatial databases,location-based spatial queries,sigmod conference,international conference on management of data,2000,2003
0,"krithi ramamritham , hoshi mistry , prasan roy , s. sudarshan","c &#233; sar galindo-legaria , arnon rosenthal",materialized view selection and maintenance using multi-query optimization,outerjoin simplification and reordering for query optimization,sigmod conference,acm transactions on database systems ( tods ),2001,1997
0,"hector garcia-molina , sergey melnik","rune humborstad , maitrayi sabaratnam , svein-olaf hvasshovd , &#216; ystein torbj &#248; rnsen",adaptive algorithms for set containment joins,1-safe algorithms for symmetric site configurations,acm trans . database syst .,very large data bases,2003,1997
0,karl aberer,COL venue VAL acm sigmod record,book review column,book reviews,sigmod record,,,2003
0,sergio greco,kenneth a. ross,binding propagation in disjunctive databases,tail recursion elimination in deductive databases,vldb,acm transactions on database systems ( tods ),1998,1996
0,"alexander borgida , martin staudt , vinay k. chaudhri","azer bestavros , kwei-jay lin , sang son",krdb ' 98 : the 5th international workshop on knowledge representation meets databases,report on first international workshop on real-time database systems,sigmod record,acm sigmod record,1998,1996
0,"xiaoyang sean wang , changzhou wang","john c. shafer , rakesh agrawal",indexing very high-dimensional sparse and quasi-sparse vectors for similarity searches,parallel algorithms for high-dimensional similarity joins for data mining applications,vldb j.,very large data bases,2001,1997
0,jiawei han,"pradeep shenoy , jayant r. haritsa , s. sundarshan , gaurav bhalotia , mayank bawa , devavrat shah",towards on-line analytical mining in large databases,turbo-charging vertical mining of large databases,sigmod record,international conference on management of data,1998,2000
0,narendra mohan,"g. mecca , p. atzeni , a. masci , g. sindoni , p. merialdo",dwms : data warehouse management system,the araneus web-based management system,vldb,international conference on management of data,1996,1998
0,richard t. snodgrass,"amr el abbadi , gunter schlageter , kyu-young whang",editorial,guest editorial,acm trans . database syst .,the vldb journal -- the international journal on very large data bases,2001,2001
0,"janet l. wiener , yingwei cui , jennifer widom","y. cui , j. widom",tracing the lineage of view data in a warehousing environment,lineage tracing for general data warehouse transformations,acm trans . database syst .,the vldb journal -- the international journal on very large data bases,2000,2003
0,"s. muthukrishnan , flip korn","nick roussopoulos , stephen kelley , fr &#233; d &#233; ric vincent",influence sets based on reverse nearest neighbor queries,nearest neighbor queries,sigmod conference,international conference on management of data,2000,1995
0,philip a. bernstein,"asuman dogac , budak arpinar , cem evrendilek , cetin ozkan , ilker altintas , ilker durusoy , mehmet altinel , tansel okay , yuksel saygin",repositories and object oriented databases,metu object-oriented dbms,sigmod record,international conference on management of data,1998,1994
0,"kenneth a. ross , damianos chatziantoniou","swarup acharya , phillip b. gibbons , viswanath poosala",groupwise processing of relational queries,congressional samples for approximate answering of group-by queries,vldb,international conference on management of data,1997,2000
0,"ulrich güntzer , werner kießling , wolf-tilo balke","surajit chaudhuri , luis gravano",optimizing multi-feature queries for image databases,optimizing queries over multimedia repositories,vldb,international conference on management of data,2000,1996
0,keishi tajima,"domenico beneventano , sonia bergamaschi , claudio sartori",static detection of security flaws in object-oriented databases,description logics for semantic query optimization in object-oriented database systems,sigmod conference,acm transactions on database systems ( tods ),1996,2003
0,"alexander brodsky , yoram kornatzky","v &#233; ronique benzaken , anne doucet",the lyric language : querying constraint objects,themis : a database programming language handling integrity constraints,sigmod conference,the vldb journal -- the international journal on very large data bases,1995,1995
1,"motomichi toyama , yoko maeda","yoko maeda , motomichi toyama",actiview : adaptive data presentation using supersql,actiview : adaptive data presentation using supersql,vldb,very large data bases,2001,2001
0,"z. meral özsoyoglu , tolga bozkaya","stefan berchtold , daniel a. keim , hans-peter kriegel",distance-based indexing for high-dimensional metric spaces,the x-tree : an index structure for high-dimensional data,sigmod conference,very large data bases,1997,1996
0,"gio wiederhold , byung suk lee","jayavel shanmugasundaram , eugene j. shekita , rimon barr , michael j. carey , bruce g. lindsay , hamid pirahesh , berthold reinwald",efficiently instantiating view-objects from remote relational databases,efficiently publishing relational data as xml documents,vldb j.,very large data bases,1994,2000
1,"craig wong , mark stokrp , mike lefler","mark lefler , mark stokrp , craig wong",dbsim : a simulation tool for predicting database performance,dbsim : a simulation tool for predicting database performance,sigmod conference,international conference on management of data,1996,1996
0,"dan suciu , maurizio lenzerini , daniele nardi , werner nutt",opher etzion,report on the 8th international workshop on knowledge representation meets databases ( krdb ),report on ngits ' 99 : the fourth international workshop on next generation information technologies and systems,sigmod record,acm sigmod record,2001,1999
0,"guy m. lohman , david j. dewitt , qiong luo , jeffrey f. naughton , chun zhang","damianos chatziantoniou , kenneth a. ross",on supporting containment queries in relational database management systems,querying multiple features of groups in relational databases,sigmod conference,very large data bases,2001,1996
0,"shu-yao chien , carlo zaniolo , vassilis j. tsotras","mehmet altinel , michael j. franklin",efficient schemes for managing multiversionxml documents,efficient filtering of xml documents for selective dissemination of information,vldb j.,very large data bases,2002,2000
0,cass squire,"dimitri theodoratos , timos k. sellis",data extraction and transformation for the data warehouse,data warehouse configuration,sigmod conference,very large data bases,1995,1997
0,"mark d. hill , anastassia ailamaki , david j. dewitt , marios skounakis","mark lefler , mark stokrp , craig wong",weaving relations for cache performance,dbsim : a simulation tool for predicting database performance,vldb,international conference on management of data,2001,1996
0,"xueqing gong , kun yue , aoying zhou , zhimao guo , jianchang xiao , wenfei fan , hongwei wu , qing wang , shihui zheng","chengkai li , philip bohannon , p. p. s. narayan",trex : dtd-conforming xml to xml transformations,composing xsl transformations with xml publishing views,sigmod conference,international conference on management of data,2003,2003
0,"kenneth a. ross , kyuseok shim , mary f. fernandez",richard snodgrass,reminiscences on influential papers,reminiscences in influential papers,sigmod record,acm sigmod record,2002,1998
0,"peter j. haas , rakesh agrawal , jerry kiernan","rakesh agrawal , peter j. haas , jerry kiernan","watermarking relational data : framework , algorithms and analysis",a system for watermarking relational databases,vldb j.,international conference on management of data,2003,2003
0,"gabriella pasi , amihai motro , patrick bosc","amihai motro , troels andreasen",report on the fourth international conference on flexible query answering systems,report on fqas 2002 : fifth international conference on flexible query answering systems,sigmod record,acm sigmod record,2001,2003
1,"kevin strehlo , ralph kimball","ralph kimball , kevin strehlo",why decision support fails and how to fix it,why decision support fails and how to fix it,sigmod record,acm sigmod record,1995,1995
0,cass squire,"surajit chaudhuri , umeshwar dayal",data extraction and transformation for the data warehouse,data warehousing and olap for decision support,sigmod conference,international conference on management of data,1995,1997
0,"mikael berndtsson , jörgen hansson",opher etzion,workshop report : the first international workshop on active and real-time database systems ( artdb-95 ),report on ngits ' 99 : the fourth international workshop on next generation information technologies and systems,sigmod record,acm sigmod record,1996,1999
0,"kaladhar voruganti , renée j. miller , kenneth a. ross , flip korn",ken ross,reminiscences on influential papers,influential papers,sigmod record,acm sigmod record,2002,2002
0,"vagelis hristidis , yannis papakonstantinou","anastassia ailamaki , david j. dewitt , mark d. hill",discover : keyword search in relational databases,data page layouts for relational databases on deep memory hierarchies,vldb,the vldb journal -- the international journal on very large data bases,2002,2002
0,"andreas geppert , klaus r. dittrich","arun jagatheesan , arcot rajasekar",constructing the next 100 database management systems,data grid management systems,sigmod record,international conference on management of data,1994,2003
1,"vincent aguilera , dan vodislav , pierangelo veltri , sophie cluet , tova milo","vincent aguilera , sophie cluet , tova milo , pierangelo veltri , dan vodislav",views in a large-scale xml repository,views in a large-scale xml repository,vldb j.,the vldb journal -- the international journal on very large data bases,2002,2002
1,frank neven,frank neven,automata theory for xml researchers,automata theory for xml researchers,sigmod record,acm sigmod record,2002,2002
0,"arthur m. keller , michael r. genesereth , oliver m. duschka",oliver g &#252; nther,infomaster : an information integration system,environmental information systems,sigmod conference,acm sigmod record,1997,1997
0,"k. bernhard schiefer , fred koo , t. y. cliff leung , linqi liu , jarek gryz , xiaoyan qian , qi cheng","alexandra poulovassilis , carol small",implementation of two semantic query optimization techniques in db2 universal database,investigation of algebraic query optimisation techniques for database programming languages,vldb,very large data bases,1999,1994
0,"theodore johnson , amr el abbadi , richard t. snodgrass , kenneth a. ross",kenneth a. ross,reminiscences on influential papers,reminiscences on influential papers,sigmod record,acm sigmod record,2002,2003
0,"ashish gupta , inderpal singh mumick , kenneth a. ross","xin zhang , katica dimitrova , ling wang , maged el sayed , brian murphy , bradford pielech , mukesh mulchandani , luping ding , elke a. rundensteiner",adapting materialized views after redefinitions,rainbow : multi-xquery optimization using materialized xml views,sigmod conference,international conference on management of data,1995,2003
0,jennifer widom,richard snodgrass,editor 's notes,editorial,sigmod record,acm transactions on database systems ( tods ),1996,2001
0,"a. r. hurson , simin h. pakzad , m. w. bright","wen-syan li , chris clifton",automated resolution of semantic heterogeneity in multidatabases,semantic integration in heterogeneous databases using neural networks,acm trans . database syst .,very large data bases,1994,1994
0,"arvind rajendran , david maier , leonidas fegaras , chandrasekhar srinivasan","asuman dogac , budak arpinar , cem evrendilek , cetin ozkan , ilker altintas , ilker durusoy , mehmet altinel , tansel okay , yuksel saygin",lambda-db : an odmg-based object-oriented dbms,metu object-oriented dbms,sigmod conference,international conference on management of data,2000,1994
0,"dan suciu , daniela florescu , alon y. levy , mary f. fernandez","mary fern &#225; ndez , daniela florescu , jaewoo kang , alon levy , dan suciu",a query language for a web-site management system,catching the boat with strudel : experiences with a web-site management system,sigmod record,international conference on management of data,1997,1998
0,"brad adelberg , hector garcia-molina , ben kao","brajesh goyal , jayant r. haritsa , s. seshadri , v. srinivasan",applying update streams in a soft real-time database system,index concurrency control in firm real-time database systems,sigmod conference,very large data bases,1995,1995
0,"p. bruce berra , bhavani m. thuraisingham , kingsley c. nwosu","kun-lung wu , philip s. yu , jen-yao chung , james z. teng",acm multimedia '94 conference workshop on multimedia database management systems,a performance study of workfile disk management for concurrent mergesorts in a multiprocessor database system,sigmod record,very large data bases,1995,1995
0,"nesime tatbul , daniel j. abadi , c. erwin , anurag maskey , mitch cherniack , alex rasin , christian convey , a. singer , eduardo f. galvez , r. yan , ugur çetintemel , ying xing , stanley b. zdonik , michael stonebraker , donald carney , m. hatoun",jeff sidell,aurora : a data stream management system,the mariposa distributed database management system,sigmod conference,acm sigmod record,2003,1996
0,"mengchi liu , tok wang ling , gillian dobbie","martin s. olivier , sebastiaan h. von solms",a logical foundation for deductive object-oriented databases,a taxonomy for secure object-oriented databases,acm trans . database syst .,acm transactions on database systems ( tods ),2002,1994
1,"miron livny , yannis e. ioannidis , nagavamsi ponnekanti , shivani gupta","yannis e. ioannidis , miron livny , s. gupta , nagavamsi ponnekanti",zoo : a desktop experiment management environment,zoo : a desktop experiment management environment,vldb,very large data bases,1996,1996
